stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99319,1331.00,8284.00,NaN,1000.00,186188,24.0000,8284.00,0.00000,1331.00,0.00000,0.00000
9.06156,1549.00,8243.00,NaN,1000.00,186863,20.0000,8243.00,0.00000,1549.00,0.00000,0.00000
9.13114,2029.00,8656.00,NaN,1000.00,186667,22.0000,8656.00,0.00000,2029.00,0.00000,0.00000
9.20011,2297.00,8816.00,NaN,1000.00,187293,26.0000,8816.00,0.00000,2297.00,0.00000,0.00000
9.26969,2170.00,8766.00,NaN,1000.00,186958,33.0000,8766.00,0.00000,2170.00,0.00000,0.00000
9.34294,1676.00,8528.00,NaN,1000.00,186725,35.0000,8528.00,0.00000,1676.00,0.00000,0.00000
9.41008,1331.00,8301.00,NaN,1000.00,186730,27.0000,8301.00,0.00000,1331.00,0.00000,0.00000
9.47905,1545.00,8366.00,NaN,1000.00,186516,25.0000,8366.00,0.00000,1545.00,0.00000,0.00000
9.55168,1920.00,8415.00,NaN,1000.00,186643,26.0000,8415.00,0.00000,1920.00,0.00000,0.00000
9.61882,2251.00,8729.00,NaN,1000.00,187335,25.0000,8729.00,0.00000,2251.00,0.00000,0.00000
9.69024,2124.00,8823.00,NaN,1000.00,185724,37.0000,8823.00,0.00000,2124.00,0.00000,0.00000
9.75799,1655.00,8403.00,NaN,1000.00,186531,21.0000,8403.00,0.00000,1655.00,0.00000,0.00000
9.82757,1318.00,8312.00,NaN,1000.00,186408,25.0000,8312.00,0.00000,1318.00,0.00000,0.00000
9.89593,1682.00,8594.00,NaN,1000.00,187009,33.0000,8594.00,0.00000,1682.00,0.00000,0.00000
9.96796,1937.00,8444.00,NaN,1000.00,186327,42.0000,8444.00,0.00000,1937.00,0.00000,0.00000
10.0369,2331.00,8757.00,NaN,1000.00,186779,27.0000,8757.00,0.00000,2331.00,0.00000,0.00000
10.1090,2066.00,8596.00,NaN,1000.00,185868,29.0000,8596.00,0.00000,2066.00,0.00000,0.00000
10.1791,1627.00,8361.00,NaN,1000.00,186477,34.0000,8361.00,0.00000,1627.00,0.00000,0.00000
10.2469,1397.00,8316.00,NaN,1000.00,186092,24.0000,8316.00,0.00000,1397.00,0.00000,0.00000
10.3183,1564.00,8297.00,NaN,1000.00,187256,26.0000,8297.00,0.00000,1564.00,0.00000,0.00000
10.3885,2043.00,8654.00,NaN,1000.00,186869,29.0000,8654.00,0.00000,2043.00,0.00000,0.00000
10.4563,2204.00,8434.00,NaN,1000.00,187046,17.0000,8434.00,0.00000,2204.00,0.00000,0.00000
10.5258,2029.00,8528.00,NaN,1000.00,186512,25.0000,8528.00,0.00000,2029.00,0.00000,0.00000
10.5966,1611.00,8422.00,NaN,1000.00,186473,15.0000,8422.00,0.00000,1611.00,0.00000,0.00000
10.6656,1417.00,8489.00,NaN,1000.00,186236,21.0000,8489.00,0.00000,1417.00,0.00000,0.00000
10.7364,1697.00,8504.00,0.00000,1000.00,187212,25.0000,8504.00,1.00000,1697.00,0.00000,0.00000
10.8066,2100.00,8510.00,NaN,1000.00,186547,35.0000,8510.00,0.00000,2100.00,0.00000,0.00000
10.8756,2219.00,8309.00,NaN,1000.00,186901,30.0000,8309.00,0.00000,2219.00,0.00000,0.00000
10.9421,1952.00,8427.00,NaN,1000.00,187290,39.0000,8427.00,0.00000,1952.00,0.00000,0.00000
11.0141,1597.00,8335.00,NaN,1000.00,187132,26.0000,8335.00,0.00000,1597.00,0.00000,0.00000
