Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99380;430,000;3502,00;NaN;1000,00;187464;20,0000;3502,00;0,00000;430,000;0,00000;0,00000
9,02615;362,000;3498,00;NaN;1000,00;187374;31,0000;3498,00;0,00000;362,000;0,00000;0,00000
9,06217;387,000;3600,00;0,00000;1000,00;186787;40,0000;3600,00;1,00000;387,000;0,00000;0,00000
9,09635;421,000;3653,00;NaN;1000,00;186397;21,0000;3653,00;0,00000;421,000;0,00000;0,00000
9,12931;461,000;3695,00;NaN;1000,00;186972;26,0000;3695,00;0,00000;461,000;0,00000;0,00000
9,16532;476,000;3719,00;NaN;1000,00;187229;33,0000;3719,00;0,00000;476,000;0,00000;0,00000
9,19767;470,000;3808,00;NaN;1000,00;187323;24,0000;3808,00;0,00000;470,000;0,00000;0,00000
9,23734;452,000;3832,00;NaN;1000,00;186840;24,0000;3832,00;0,00000;452,000;0,00000;0,00000
9,27213;448,000;3668,00;NaN;1000,00;187006;29,0000;3668,00;0,00000;448,000;0,00000;0,00000
9,30448;426,000;3662,00;NaN;1000,00;187156;20,0000;3662,00;0,00000;426,000;0,00000;0,00000
9,34172;417,000;3541,00;NaN;1000,00;187358;35,0000;3541,00;0,00000;417,000;0,00000;0,00000
9,37162;353,000;3526,00;NaN;1000,00;187064;30,0000;3526,00;0,00000;353,000;0,00000;0,00000
9,41069;374,000;3418,00;NaN;1000,00;186493;22,0000;3418,00;0,00000;374,000;0,00000;0,00000
9,44609;348,000;3430,00;NaN;1000,00;187082;27,0000;3430,00;0,00000;348,000;0,00000;0,00000
9,48027;389,000;3527,00;NaN;1000,00;186108;19,0000;3527,00;0,00000;389,000;0,00000;0,00000
9,51323;428,000;3700,00;NaN;1000,00;186273;37,0000;3700,00;0,00000;428,000;0,00000;0,00000
9,54924;472,000;3740,00;NaN;1000,00;186793;29,0000;3740,00;0,00000;472,000;0,00000;0,00000
9,58159;465,000;3716,00;NaN;1000,00;186829;24,0000;3716,00;0,00000;465,000;0,00000;0,00000
9,61638;463,000;3830,00;NaN;1000,00;187133;27,0000;3830,00;0,00000;463,000;0,00000;0,00000
9,65361;477,000;3865,00;NaN;1000,00;187011;28,0000;3865,00;0,00000;477,000;0,00000;0,00000
9,68780;449,000;3754,00;NaN;1000,00;187467;30,0000;3754,00;0,00000;449,000;0,00000;0,00000
9,72320;487,000;3758,00;NaN;1000,00;187021;29,0000;3758,00;0,00000;487,000;0,00000;0,00000
9,76226;424,000;3673,00;NaN;1000,00;187192;23,0000;3673,00;0,00000;424,000;0,00000;0,00000
9,79461;362,000;3515,00;NaN;1000,00;187824;37,0000;3515,00;0,00000;362,000;0,00000;0,00000
9,82635;351,000;3442,00;NaN;1000,00;188309;29,0000;3442,00;0,00000;351,000;0,00000;0,00000
9,86297;353,000;3472,00;NaN;1000,00;186717;37,0000;3472,00;0,00000;353,000;0,00000;0,00000
9,89837;397,000;3573,00;NaN;1000,00;187200;28,0000;3573,00;0,00000;397,000;0,00000;0,00000
9,93194;414,000;3506,00;NaN;1000,00;187520;25,0000;3506,00;0,00000;414,000;0,00000;0,00000
9,97101;428,000;3646,00;NaN;1000,00;187737;26,0000;3646,00;0,00000;428,000;0,00000;0,00000
10,0027;484,000;3673,00;NaN;1000,00;186767;22,0000;3673,00;0,00000;484,000;0,00000;0,00000
10,0375;456,000;3699,00;NaN;1000,00;186833;36,0000;3699,00;0,00000;456,000;0,00000;0,00000
10,0729;506,000;3911,00;NaN;1000,00;186137;27,0000;3911,00;0,00000;506,000;0,00000;0,00000
10,1083;466,000;3768,00;NaN;1000,00;186977;27,0000;3768,00;0,00000;466,000;0,00000;0,00000
10,1431;443,000;3728,00;NaN;1000,00;187374;29,0000;3728,00;0,00000;443,000;0,00000;0,00000
10,1791;412,000;3576,00;NaN;1000,00;186963;30,0000;3576,00;0,00000;412,000;0,00000;0,00000
10,2127;355,000;3373,00;NaN;1000,00;186264;22,0000;3373,00;0,00000;355,000;0,00000;0,00000
10,2469;370,000;3426,00;NaN;1000,00;187007;30,0000;3426,00;0,00000;370,000;0,00000;0,00000
10,2835;382,000;3400,00;NaN;1000,00;186656;33,0000;3400,00;0,00000;382,000;0,00000;0,00000
10,3165;384,000;3465,00;NaN;1000,00;187089;32,0000;3465,00;0,00000;384,000;0,00000;0,00000
10,3507;380,000;3568,00;NaN;1000,00;186254;29,0000;3568,00;0,00000;380,000;0,00000;0,00000
10,3867;435,000;3675,00;NaN;1000,00;185899;32,0000;3675,00;0,00000;435,000;0,00000;0,00000
10,4215;457,000;3737,00;NaN;1000,00;186941;29,0000;3737,00;0,00000;457,000;0,00000;0,00000
10,4563;513,000;3850,00;NaN;1000,00;187273;33,0000;3850,00;0,00000;513,000;0,00000;0,00000
10,4929;509,000;3838,00;NaN;1000,00;186519;26,0000;3838,00;0,00000;509,000;0,00000;0,00000
