Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99319;442,000;3705,00;NaN;1000,00;187119;30,0000;3705,00;0,00000;442,000;0,00000;0,00000
9,02554;457,000;3637,00;NaN;1000,00;187059;24,0000;3637,00;0,00000;457,000;0,00000;0,00000
9,05911;431,000;3636,00;NaN;1000,00;187110;22,0000;3636,00;0,00000;431,000;0,00000;0,00000
9,09452;425,000;3740,00;NaN;1000,00;187194;25,0000;3740,00;0,00000;425,000;0,00000;0,00000
9,13175;450,000;3563,00;NaN;1000,00;186862;33,0000;3563,00;0,00000;450,000;0,00000;0,00000
9,16593;391,000;3552,00;NaN;1000,00;187706;30,0000;3552,00;0,00000;391,000;0,00000;0,00000
9,20011;392,000;3593,00;NaN;1000,00;186945;34,0000;3593,00;0,00000;392,000;0,00000;0,00000
9,23734;431,000;3615,00;NaN;1000,00;186485;23,0000;3615,00;0,00000;431,000;0,00000;0,00000
9,27030;407,000;3584,00;NaN;1000,00;186443;20,0000;3584,00;0,00000;407,000;0,00000;0,00000
9,30448;394,000;3645,00;NaN;1000,00;186092;34,0000;3645,00;0,00000;394,000;0,00000;0,00000
9,34050;446,000;3620,00;NaN;1000,00;186827;35,0000;3620,00;0,00000;446,000;0,00000;0,00000
9,37468;439,000;3626,00;NaN;1000,00;186774;26,0000;3626,00;0,00000;439,000;0,00000;0,00000
9,40947;453,000;3749,00;NaN;1000,00;186750;31,0000;3749,00;0,00000;453,000;0,00000;0,00000
9,44365;426,000;3676,00;NaN;1000,00;187553;25,0000;3676,00;0,00000;426,000;0,00000;0,00000
9,47966;443,000;3683,00;NaN;1000,00;186851;30,0000;3683,00;0,00000;443,000;0,00000;0,00000
9,51445;420,000;3681,00;NaN;1000,00;187633;41,0000;3681,00;0,00000;420,000;0,00000;0,00000
9,54924;405,000;3583,00;NaN;1000,00;187170;32,0000;3583,00;0,00000;405,000;0,00000;0,00000
9,58281;368,000;3501,00;NaN;1000,00;186205;44,0000;3501,00;0,00000;368,000;0,00000;0,00000
9,61882;393,000;3599,00;NaN;1000,00;186883;27,0000;3599,00;0,00000;393,000;0,00000;0,00000
9,65606;401,000;3666,00;NaN;1000,00;186796;21,0000;3666,00;0,00000;401,000;0,00000;0,00000
9,68902;400,000;3624,00;NaN;1000,00;187802;32,0000;3624,00;0,00000;400,000;0,00000;0,00000
9,72320;438,000;3728,00;NaN;1000,00;187200;32,0000;3728,00;0,00000;438,000;0,00000;0,00000
9,75738;426,000;3700,00;NaN;1000,00;187599;35,0000;3700,00;0,00000;426,000;0,00000;0,00000
9,79339;417,000;3563,00;NaN;1000,00;187565;31,0000;3563,00;0,00000;417,000;0,00000;0,00000
9,82757;422,000;3713,00;NaN;1000,00;186756;24,0000;3713,00;0,00000;422,000;0,00000;0,00000
9,86419;399,000;3571,00;NaN;1000,00;186868;43,0000;3571,00;0,00000;399,000;0,00000;0,00000
9,89898;431,000;3618,00;NaN;1000,00;187896;20,0000;3618,00;0,00000;431,000;0,00000;0,00000
9,93255;443,000;3581,00;NaN;1000,00;188207;16,0000;3581,00;0,00000;443,000;0,00000;0,00000
9,96735;420,000;3543,00;NaN;1000,00;186813;46,0000;3543,00;0,00000;420,000;0,00000;0,00000
10,0009;412,000;3603,00;NaN;1000,00;186710;23,0000;3603,00;0,00000;412,000;0,00000;0,00000
10,0394;388,000;3458,00;0,00000;1000,00;187013;29,0000;3458,00;1,00000;388,000;0,00000;0,00000
10,0717;394,000;3527,00;NaN;1000,00;185658;30,0000;3527,00;0,00000;394,000;0,00000;0,00000
10,1083;391,000;3486,00;NaN;1000,00;187636;34,0000;3486,00;0,00000;391,000;0,00000;0,00000
10,1431;431,000;3635,00;NaN;1000,00;187168;24,0000;3635,00;0,00000;431,000;0,00000;0,00000
10,1761;404,000;3520,00;NaN;1000,00;186746;28,0000;3520,00;0,00000;404,000;0,00000;0,00000
10,2115;438,000;3686,00;NaN;1000,00;188339;25,0000;3686,00;0,00000;438,000;0,00000;0,00000
10,2475;423,000;3495,00;NaN;1000,00;187001;21,0000;3495,00;0,00000;423,000;0,00000;0,00000
10,2817;421,000;3535,00;NaN;1000,00;187828;32,0000;3535,00;0,00000;421,000;0,00000;0,00000
10,3177;442,000;3629,00;NaN;1000,00;187149;28,0000;3629,00;0,00000;442,000;0,00000;0,00000
10,3500;393,000;3480,00;NaN;1000,00;187171;37,0000;3480,00;0,00000;393,000;0,00000;0,00000
10,3848;406,000;3603,00;NaN;1000,00;186802;17,0000;3603,00;0,00000;406,000;0,00000;0,00000
10,4221;399,000;3627,00;NaN;1000,00;186705;21,0000;3627,00;0,00000;399,000;0,00000;0,00000
10,4563;433,000;3509,00;NaN;1000,00;187222;20,0000;3509,00;0,00000;433,000;0,00000;0,00000
10,4917;389,000;3513,00;NaN;1000,00;186037;17,0000;3513,00;0,00000;389,000;0,00000;0,00000
10,5258;417,000;3545,00;NaN;1000,00;187252;18,0000;3545,00;0,00000;417,000;0,00000;0,00000
10,5618;411,000;3487,00;NaN;1000,00;186299;32,0000;3487,00;0,00000;411,000;0,00000;0,00000
10,5936;426,000;3507,00;NaN;1000,00;188367;33,0000;3507,00;0,00000;426,000;0,00000;0,00000
10,6308;404,000;3436,00;NaN;1000,00;186995;28,0000;3436,00;0,00000;404,000;0,00000;0,00000
10,6650;417,000;3472,00;NaN;1000,00;187754;34,0000;3472,00;0,00000;417,000;0,00000;0,00000
10,7004;389,000;3514,00;NaN;1000,00;186650;32,0000;3514,00;0,00000;389,000;0,00000;0,00000
10,7352;438,000;3525,00;NaN;1000,00;186989;29,0000;3525,00;0,00000;438,000;0,00000;0,00000
10,7718;392,000;3532,00;NaN;1000,00;186969;50,0000;3532,00;0,00000;392,000;0,00000;0,00000
10,8066;412,000;3534,00;NaN;1000,00;186426;20,0000;3534,00;0,00000;412,000;0,00000;0,00000
10,8390;386,000;3519,00;NaN;1000,00;188028;26,0000;3519,00;0,00000;386,000;0,00000;0,00000
10,8737;449,000;3538,00;NaN;1000,00;187250;28,0000;3538,00;0,00000;449,000;0,00000;0,00000
10,9073;414,000;3448,00;NaN;1000,00;187800;48,0000;3448,00;0,00000;414,000;0,00000;0,00000
10,9464;406,000;3442,00;NaN;1000,00;186485;27,0000;3442,00;0,00000;406,000;0,00000;0,00000
10,9769;427,000;3397,00;NaN;1000,00;186948;35,0000;3397,00;0,00000;427,000;0,00000;0,00000
