Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99380;2056,00;10204,0;NaN;1000,00;186552;28,0000;10204,0;0,00000;2056,00;0,00000;0,00000
9,06278;883,000;6051,00;NaN;1000,00;186223;24,0000;6051,00;0,00000;883,000;0,00000;0,00000
9,13114;726,000;4435,00;NaN;1000,00;186328;27,0000;4435,00;0,00000;726,000;0,00000;0,00000
9,20011;1919,00;7481,00;NaN;1000,00;186553;30,0000;7481,00;0,00000;1919,00;0,00000;0,00000
9,26969;2869,00;11273,0;NaN;1000,00;186669;32,0000;11273,0;0,00000;2869,00;0,00000;0,00000
9,34050;2984,00;12368,0;NaN;1000,00;187476;34,0000;12368,0;0,00000;2984,00;0,00000;0,00000
9,41008;2062,00;10189,0;NaN;1000,00;186742;35,0000;10189,0;0,00000;2062,00;0,00000;0,00000
9,47966;828,000;5915,00;NaN;1000,00;186346;35,0000;5915,00;0,00000;828,000;0,00000;0,00000
9,54924;651,000;4391,00;NaN;1000,00;186637;29,0000;4391,00;0,00000;651,000;0,00000;0,00000
9,61882;1790,00;7045,00;NaN;1000,00;187073;26,0000;7045,00;0,00000;1790,00;0,00000;0,00000
9,68841;2867,00;11370,0;NaN;1000,00;186491;26,0000;11370,0;0,00000;2867,00;0,00000;0,00000
9,76165;2781,00;12258,0;NaN;1000,00;186072;30,0000;12258,0;0,00000;2781,00;0,00000;0,00000
9,82696;1908,00;9951,00;NaN;1000,00;186947;31,0000;9951,00;0,00000;1908,00;0,00000;0,00000
9,89959;820,000;5930,00;NaN;1000,00;186586;29,0000;5930,00;0,00000;820,000;0,00000;0,00000
9,96673;808,000;4740,00;NaN;1000,00;187190;29,0000;4740,00;0,00000;808,000;0,00000;0,00000
10,0388;1892,00;7514,00;NaN;1000,00;187588;24,0000;7514,00;0,00000;1892,00;0,00000;0,00000
10,1090;2986,00;11568,0;NaN;1000,00;186634;21,0000;11568,0;0,00000;2986,00;0,00000;0,00000
10,1779;2827,00;12312,0;NaN;1000,00;186240;32,0000;12312,0;0,00000;2827,00;0,00000;0,00000
10,2469;1575,00;9110,00;NaN;1000,00;186779;34,0000;9110,00;0,00000;1575,00;0,00000;0,00000
10,3183;683,000;5517,00;NaN;1000,00;187236;20,0000;5517,00;0,00000;683,000;0,00000;0,00000
10,3891;902,000;4957,00;NaN;1000,00;186702;24,0000;4957,00;0,00000;902,000;0,00000;0,00000
10,4563;2002,00;7974,00;NaN;1000,00;187277;43,0000;7974,00;0,00000;2002,00;0,00000;0,00000
10,5289;2965,00;11685,0;NaN;1000,00;186245;22,0000;11685,0;0,00000;2965,00;0,00000;0,00000
10,5966;2577,00;11946,0;NaN;1000,00;186666;14,0000;11946,0;0,00000;2577,00;0,00000;0,00000
10,6656;1565,00;9002,00;NaN;1000,00;187177;52,0000;9002,00;0,00000;1565,00;0,00000;0,00000
10,7346;630,000;5217,00;NaN;1000,00;186216;30,0000;5217,00;0,00000;630,000;0,00000;0,00000
10,8042;1077,00;5404,00;NaN;1000,00;186683;29,0000;5404,00;0,00000;1077,00;0,00000;0,00000
10,8756;2290,00;8943,00;NaN;1000,00;186956;22,0000;8943,00;0,00000;2290,00;0,00000;0,00000
10,9433;2949,00;11791,0;NaN;1000,00;186694;24,0000;11791,0;0,00000;2949,00;0,00000;0,00000
11,0141;2419,00;11437,0;NaN;1000,00;186870;33,0000;11437,0;0,00000;2419,00;0,00000;0,00000
