Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99319,1727.00,7833.00,NaN,1000.00,186650,42.0000,7833.00,0.00000,1727.00,0.00000,0.00000
9.05972,1771.00,7599.00,NaN,1000.00,186386,27.0000,7599.00,0.00000,1771.00,0.00000,0.00000
9.13053,1944.00,8348.00,NaN,1000.00,185540,29.0000,8348.00,0.00000,1944.00,0.00000,0.00000
9.20011,2009.00,9326.00,NaN,1000.00,185420,26.0000,9326.00,0.00000,2009.00,0.00000,0.00000
9.27213,1783.00,9334.00,NaN,1000.00,186729,37.0000,9334.00,0.00000,1783.00,0.00000,0.00000
9.34111,1693.00,8644.00,NaN,1000.00,186781,29.0000,8644.00,0.00000,1693.00,0.00000,0.00000
9.41008,1657.00,7849.00,NaN,1000.00,186735,29.0000,7849.00,0.00000,1657.00,0.00000,0.00000
9.47966,1883.00,7719.00,NaN,1000.00,186984,42.0000,7719.00,0.00000,1883.00,0.00000,0.00000
9.54924,1913.00,8341.00,NaN,1000.00,186643,16.0000,8341.00,0.00000,1913.00,0.00000,0.00000
9.61882,2051.00,9311.00,NaN,1000.00,186564,25.0000,9311.00,0.00000,2051.00,0.00000,0.00000
9.69146,1862.00,9377.00,NaN,1000.00,186439,33.0000,9377.00,0.00000,1862.00,0.00000,0.00000
9.75799,1705.00,8695.00,NaN,1000.00,186170,35.0000,8695.00,0.00000,1705.00,0.00000,0.00000
9.82879,1602.00,7713.00,NaN,1000.00,186530,32.0000,7713.00,0.00000,1602.00,0.00000,0.00000
9.89776,1801.00,7806.00,NaN,1000.00,185935,26.0000,7806.00,0.00000,1801.00,0.00000,0.00000
9.96796,1951.00,8443.00,NaN,1000.00,186658,31.0000,8443.00,0.00000,1951.00,0.00000,0.00000
10.0369,2009.00,9385.00,NaN,1000.00,186097,29.0000,9385.00,0.00000,2009.00,0.00000,0.00000
10.1077,1836.00,9281.00,NaN,1000.00,186621,38.0000,9281.00,0.00000,1836.00,0.00000,0.00000
10.1791,1661.00,8559.00,NaN,1000.00,187253,35.0000,8559.00,0.00000,1661.00,0.00000,0.00000
10.2475,1619.00,7692.00,NaN,1000.00,186847,30.0000,7692.00,0.00000,1619.00,0.00000,0.00000
10.3177,1837.00,7929.00,NaN,1000.00,186739,20.0000,7929.00,0.00000,1837.00,0.00000,0.00000
10.3867,1936.00,8442.00,NaN,1000.00,187245,35.0000,8442.00,0.00000,1936.00,0.00000,0.00000
10.4563,2006.00,9197.00,NaN,1000.00,186586,36.0000,9197.00,0.00000,2006.00,0.00000,0.00000
10.5258,1807.00,9039.00,NaN,1000.00,187639,35.0000,9039.00,0.00000,1807.00,0.00000,0.00000
10.5948,1678.00,8734.00,NaN,1000.00,186629,25.0000,8734.00,0.00000,1678.00,0.00000,0.00000
10.6656,1736.00,7801.00,NaN,1000.00,186852,37.0000,7801.00,0.00000,1736.00,0.00000,0.00000
10.7358,1896.00,7947.00,NaN,1000.00,186622,34.0000,7947.00,0.00000,1896.00,0.00000,0.00000
10.8066,2063.00,8844.00,NaN,1000.00,186596,34.0000,8844.00,0.00000,2063.00,0.00000,0.00000
10.8750,1923.00,9295.00,NaN,1000.00,187075,15.0000,9295.00,0.00000,1923.00,0.00000,0.00000
10.9458,1742.00,8945.00,NaN,1000.00,186539,19.0000,8945.00,0.00000,1742.00,0.00000,0.00000
11.0135,1637.00,8194.00,NaN,1000.00,185717,33.0000,8194.00,0.00000,1637.00,0.00000,0.00000
