BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
13.0	1.947	1.95	-0.003	-0.004	0.004	1.279	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
13.25	1.98	1.983	-0.002	-0.003	-0.0	1.306	-0.002	0.001	0	0	0	0	0	0	0	0	100.0
13.5	2.022	2.023	0.001	0.0	-0.002	1.329	0.001	-0.003	0	0	0	0	0	0	0	0	100.0
13.75	2.062	2.06	-0.003	0.001	-0.002	1.359	-0.001	-0.003	0	0	0	0	0	0	0	0	100.0
14.0	2.095	2.096	-0.001	-0.002	-0.0	1.416	-0.002	-0.001	0	0	0	0	0	0	0	0	100.0
14.25	2.134	2.137	-0.002	-0.003	0.001	1.442	0.001	-0.005	0	0	0	0	0	0	0	0	100.0
14.5	2.17	2.171	0.003	-0.001	-0.0	1.47	-0.002	0.001	0	0	0	0	0	0	0	0	100.0
14.75	2.207	2.21	-0.002	-0.003	-0.0	1.497	0.0	0.003	0	0	0	0	0	0	0	0	100.0
15.0	2.249	2.247	0.0	-0.005	-0.001	1.523	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
15.25	2.285	2.286	-0.002	-0.003	-0.0	1.602	0.0	-0.001	0	0	0	0	0	0	0	1	100.0
15.5	2.322	2.323	0.0	-0.001	0.004	1.633	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
15.75	2.359	2.355	-0.001	-0.005	-0.0	1.663	-0.005	0.001	0	0	0	0	0	0	0	3	100.0
16.0	2.395	2.398	-0.002	-0.003	0.001	1.696	-0.003	-0.004	0	0	0	0	0	0	0	0	100.0
16.25	2.429	2.435	-0.002	-0.003	0.001	1.725	-0.003	0.003	0	0	0	0	0	0	0	1	100.0
16.5	2.471	2.472	0.001	-0.002	0.001	1.755	0.002	-0.002	0	0	0	0	0	0	0	0	100.0
16.75	2.508	2.509	0.001	0.0	-0.0	1.797	-0.002	0.001	0	0	0	0	0	0	0	1	100.0
17.0	2.545	2.546	0.002	-0.002	0.001	1.828	-0.003	-0.0	0	0	0	0	0	0	0	2	100.0
17.25	2.583	2.584	-0.002	-0.003	0.002	1.853	-0.005	0.001	0	0	0	0	0	0	0	2	100.0
17.5	2.62	2.624	0.001	-0.002	-0.0	1.882	0.002	0.001	0	0	0	0	0	0	0	2	100.0
17.75	2.657	2.66	0.001	0.0	-0.001	1.911	-0.001	-0.002	0	0	0	0	0	0	0	1	100.0
18.0	2.696	2.697	-0.001	-0.002	-0.001	1.97	-0.003	-0.004	0	0	0	0	0	0	0	3	100.0
18.25	2.733	2.734	-0.001	0.0	-0.003	1.999	-0.003	-0.0	0	0	0	0	0	0	0	5	100.0
18.5	2.769	2.767	-0.002	-0.005	0.001	2.028	-0.001	-0.002	0	0	0	0	0	0	0	2	100.0
18.75	2.808	2.809	-0.001	0.0	0.003	2.055	-0.004	-0.003	0	0	0	0	0	0	0	7	100.0
19.0	2.845	2.846	-0.001	-0.005	0.002	2.085	0.0	-0.004	0	0	0	0	0	0	0	3	100.0
19.25	2.883	2.884	-0.002	0.002	0.002	2.112	-0.002	0.001	0	0	0	0	0	0	0	4	100.0
19.5	2.923	2.922	-0.001	-0.002	-0.001	2.143	-0.001	-0.0	0	0	0	0	0	0	0	9	100.0
19.75	2.957	2.958	-0.002	-0.001	-0.001	2.167	-0.001	-0.0	0	0	0	1	0	0	0	7	100.0
20.0	2.999	2.995	-0.001	-0.002	0.001	2.197	-0.001	-0.004	0	0	0	0	0	0	0	11	100.0
20.25	3.033	3.034	-0.001	-0.007	0.003	2.223	-0.004	-0.003	0	0	0	1	0	0	0	8	100.0
20.5	3.07	3.073	-0.001	-0.002	-0.002	2.255	-0.001	-0.0	0	0	0	0	0	0	0	10	100.0
20.75	3.108	3.109	0.0	-0.003	-0.001	2.319	-0.003	-0.0	0	0	0	1	0	0	0	13	100.0
21.0	3.145	3.146	-0.001	-0.005	-0.003	2.346	-0.005	-0.0	0	0	0	0	0	0	0	18	100.0
21.25	3.181	3.18	0.0	-0.001	0.002	2.376	-0.002	-0.001	0	0	0	2	0	0	0	8	100.0
21.5	3.221	3.222	0.001	0.0	-0.002	2.404	-0.001	-0.003	0	0	0	1	0	0	0	23	100.0
21.75	3.258	3.262	-0.001	-0.002	0.001	2.436	-0.001	-0.0	0	0	0	2	0	0	0	24	100.0
22.0	3.296	3.292	-0.002	-0.003	0.002	2.547	-0.002	0.001	0	0	0	0	0	0	0	17	100.0
22.25	3.333	3.332	0.001	-0.002	0.002	2.581	-0.002	-0.001	0	0	0	0	0	0	0	25	100.0
22.5	3.37	3.371	-0.001	0.381	-0.003	2.614	-0.003	-0.002	0	0	0	3	0	0	0	29	100.0
22.75	3.406	3.407	-0.002	0.844	0.004	2.641	0.002	-0.0	0	0	0	0	0	0	0	42	100.0
23.0	3.44	3.444	-0.002	0.854	-0.001	2.673	0.002	-0.002	0	0	0	0	0	0	0	43	100.0
23.25	3.482	3.483	0.001	0.865	-0.001	2.724	-0.001	-0.002	0	0	0	0	0	0	0	60	100.0
23.5	3.519	3.522	-0.001	0.869	-0.003	2.754	0.0	-0.001	0	0	0	0	0	0	0	82	100.0
23.75	3.558	3.561	-0.001	0.884	-0.001	2.788	-0.008	0.003	0	0	0	0	0	0	0	85	100.0
24.0	3.597	3.596	-0.001	0.894	0.001	2.812	-0.001	-0.002	0	0	0	0	0	0	0	148	100.0
24.25	3.633	3.634	0.0	0.901	-0.003	2.845	-0.002	-0.001	0	0	0	0	0	0	0	183	100.0
24.5	3.67	3.671	-0.001	0.913	0.001	2.871	-0.001	-0.0	0	0	0	0	0	0	0	265	100.0
24.75	3.706	3.705	-0.002	0.92	-0.001	2.946	-0.001	-0.0	0	0	0	0	0	0	0	488	100.0
25.0	3.745	3.744	-0.002	0.927	0.001	2.98	-0.001	-0.0	0	0	0	0	0	0	0	1571	100.0
25.25	3.782	3.786	-0.004	0.94	-0.001	3.047	-0.001	-0.0	0	0	0	0	0	0	0	6141	100.0
25.5	3.821	3.822	-0.002	0.944	0.002	3.079	0.0	2.738	0	0	0	0	0	0	0	1	100.0
25.75	3.86	3.859	0.0	0.957	-0.001	3.11	-0.003	3.079	0	0	0	0	0	0	0	0	100.0
26.0	3.894	3.895	0.0	0.966	0.001	3.139	-0.003	3.189	0	0	0	0	0	0	0	0	100.0
26.25	3.933	3.932	0.0	0.976	0.003	3.168	-0.001	3.231	0	0	0	0	0	0	0	0	100.0
26.5	3.971	3.972	-0.001	0.987	0.001	3.2	-0.006	3.266	0	0	0	0	0	0	0	0	100.0
26.75	4.007	4.008	-0.001	0.996	-0.0	3.233	-0.002	3.297	0	0	0	0	0	0	0	0	100.0
27.0	4.045	4.046	-0.003	1.002	-0.0	3.262	0.0	3.329	0	0	0	0	0	0	0	0	100.0
27.25	4.083	4.084	0.001	1.009	-0.002	3.293	-0.001	3.357	0	0	0	0	0	0	0	0	100.0
27.5	4.117	4.12	-0.002	1.018	-0.002	3.324	-0.004	3.391	0	0	0	0	0	0	0	0	100.0
27.75	4.158	4.162	-0.002	1.032	0.001	3.379	-0.003	3.426	0	0	0	0	0	0	0	0	100.0
28.0	4.195	4.196	-0.002	1.042	-0.0	3.409	0.001	3.469	0	0	0	0	0	0	0	0	100.0
28.25	4.234	4.235	-0.004	1.049	-0.0	3.438	0.0	3.499	0	0	0	0	0	0	0	0	100.0
28.5	4.271	4.272	0.001	1.06	-0.001	3.469	-0.001	3.526	0	0	0	0	0	0	0	0	100.0
28.75	4.31	4.308	-0.004	1.069	-0.003	3.504	0.0	3.56	0	0	0	0	1	0	0	0	100.0
29.0	4.344	4.345	0.0	1.076	-0.001	3.533	-0.001	3.592	0	0	0	0	1	0	0	0	100.0
29.25	4.381	4.384	-0.001	1.084	-0.002	3.561	-0.001	3.623	0	0	0	0	0	0	0	0	100.0
29.5	4.417	4.42	-0.004	1.098	-0.0	3.592	0.0	3.656	0	0	0	0	1	0	0	0	100.0
29.75	4.457	4.46	-0.001	1.104	0.002	3.667	0.0	3.685	0	0	0	0	0	0	0	0	100.0
30.0	4.495	4.496	0.0	1.115	-0.001	3.699	-0.003	3.72	0	0	0	0	2	0	0	0	100.0
30.25	4.532	4.533	-0.002	1.125	0.001	3.73	-0.001	3.748	0	0	0	0	0	0	0	0	100.0
30.5	4.568	4.569	-0.002	1.135	-0.001	3.767	-0.001	3.78	0	0	0	0	1	0	0	0	100.0
30.75	4.606	4.607	-0.001	1.143	-0.002	3.798	-0.001	3.812	0	0	0	0	4	0	0	0	100.0
31.0	4.645	4.643	0.001	1.153	-0.001	3.83	-0.001	3.844	0	0	0	0	8	0	0	0	100.0
31.25	4.678	4.682	0.0	1.159	0.002	3.902	-0.002	3.966	0	0	0	0	28	0	0	0	100.0
31.5	4.717	4.721	-0.002	1.172	-0.0	3.939	0.0	4.003	0	0	0	0	102	0	0	0	100.0
31.75	4.758	4.757	0.0	1.178	0.001	3.97	-0.001	4.035	0	0	0	0	420	0	0	0	100.0
32.0	4.796	4.797	-0.002	1.189	-0.001	4.001	-0.001	4.064	0	0	0	0	1843	0	0	0	100.0
32.25	4.833	4.834	-0.004	1.199	3.646	4.035	-0.004	4.095	0	0	0	0	1	0	0	0	100.0
32.5	4.868	4.869	0.0	1.208	3.837	4.065	-0.003	4.13	0	0	0	0	0	0	0	0	100.0
32.75	4.907	4.908	0.0	1.215	3.874	4.095	-0.002	4.162	0	0	0	0	0	0	0	0	100.0
33.0	4.945	4.946	0.001	1.228	3.94	4.131	0.0	4.196	0	0	0	0	0	0	0	0	100.0
33.25	4.983	4.984	-0.003	1.232	3.974	4.161	-0.002	4.226	0	0	0	0	0	0	0	0	100.0
33.5	5.02	5.021	-0.002	1.242	4.003	4.193	0.0	4.26	0	0	0	0	0	0	0	0	100.0
33.75	5.056	5.057	0.0	1.256	4.067	4.227	0.0	4.292	0	0	0	0	0	0	0	0	100.0
34.0	5.097	5.098	-0.001	1.26	4.101	4.256	0.0	4.323	0	0	0	0	0	0	0	0	100.0
34.25	5.133	5.134	0.0	1.274	4.135	4.287	-0.004	4.356	0	0	0	0	0	0	0	0	100.0
34.5	5.17	5.168	0.001	1.282	4.165	4.32	0.001	4.389	0	0	0	0	0	0	0	0	100.0
34.75	5.207	5.208	-0.001	1.29	4.196	4.353	-0.001	4.418	0	0	0	0	0	0	0	0	100.0
35.0	5.243	5.246	0.001	1.302	4.226	4.382	-0.003	4.452	0	0	0	0	0	0	0	0	100.0
35.25	5.281	5.285	-0.002	1.308	4.255	4.414	-0.003	4.484	0	0	0	0	0	0	0	0	100.0
35.5	5.318	5.322	0.0	1.316	4.289	4.446	0.0	4.582	0	0	0	0	0	0	0	0	100.0
35.75	5.355	5.361	-0.006	1.328	4.322	4.479	0.001	4.623	0	0	0	0	0	0	0	0	100.0
36.0	5.394	5.395	0.0	1.338	4.353	4.508	-0.002	4.658	0	0	0	0	0	0	0	0	100.0
36.25	5.431	5.434	0.001	1.346	4.386	4.541	-0.001	4.689	0	0	0	0	0	0	0	0	100.0
36.5	5.472	5.471	-0.004	1.355	4.421	4.571	-0.002	4.719	0	0	0	0	0	0	0	0	100.0
36.75	5.504	5.51	-0.002	1.365	4.478	4.605	-0.001	4.75	0	0	0	0	0	0	0	0	100.0
37.0	5.545	5.546	0.0	1.374	4.519	4.64	-0.004	4.79	0	0	0	0	0	0	0	0	100.0
37.25	5.582	5.58	0.0	1.382	4.55	4.669	0.0	4.819	0	0	0	0	0	0	0	0	100.0
37.5	5.619	5.62	0.001	1.392	4.582	4.702	-0.005	4.85	0	0	0	0	0	0	0	0	100.0
37.75	5.656	5.659	0.003	1.404	4.614	4.731	-0.001	4.884	0	0	0	0	0	0	0	0	100.0
38.0	5.694	5.695	-0.002	1.408	4.646	4.763	-0.001	4.918	0	0	0	0	0	0	0	0	100.0
38.25	5.734	5.732	0.651	1.424	4.68	4.796	0.0	4.951	0	0	1	0	0	0	0	0	100.0
38.5	5.768	5.769	0.658	1.429	4.715	4.962	2.967	5.012	0	0	0	0	0	0	0	0	100.0
38.75	5.807	5.808	0.662	1.438	4.748	5.091	4.749	5.065	0	0	0	0	0	0	0	0	100.0
39.0	5.844	5.847	0.663	1.446	4.777	5.127	4.808	5.097	0	0	0	0	0	0	0	0	100.0
39.25	5.882	5.881	0.67	1.452	4.811	5.159	4.844	5.134	0	0	0	0	0	0	0	0	100.0
39.5	5.917	5.92	0.673	1.465	4.845	5.196	4.874	5.166	0	0	0	0	0	0	0	0	100.0
39.75	5.957	5.958	0.678	1.476	4.872	5.23	4.905	5.197	0	0	0	0	0	0	0	0	100.0
40.0	5.995	5.996	0.682	1.485	4.902	5.262	4.94	5.263	0	0	0	0	0	0	0	0	100.0
40.25	6.03	6.033	0.688	1.495	4.938	5.298	4.971	5.3	0	0	0	0	0	0	0	0	100.0
40.5	6.068	6.072	0.687	1.502	4.971	5.328	5.006	5.334	0	0	0	0	0	0	0	0	100.0
40.75	6.107	6.106	0.695	1.512	5.002	5.359	5.034	5.365	0	0	0	0	0	0	0	0	100.0
41.0	6.141	6.145	0.699	1.521	5.031	5.396	5.069	5.4	0	0	0	0	0	0	0	0	100.0
41.25	6.186	6.184	0.704	1.531	5.066	5.462	5.101	5.436	0	0	0	0	0	0	0	0	100.0
41.5	6.217	6.215	0.709	1.538	5.106	5.494	5.131	5.466	0	0	0	0	0	0	0	0	100.0
