BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
12.75	1.91	1.914	-0.001	-0.002	0.001	1.254	-0.005	-0.002	0	0	0	0	0	0	0	0	1000.0
13.0	1.946	1.947	-0.002	-0.001	0.001	1.279	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
13.25	1.985	1.986	-0.002	-0.003	-0.003	1.303	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
13.5	2.024	2.025	0.0	-0.003	-0.003	1.33	-0.002	-0.004	0	0	0	0	0	0	0	0	1000.0
13.75	2.064	2.06	-0.001	0.0	-0.001	1.359	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
14.0	2.098	2.101	-0.001	0.0	-0.003	1.414	-0.002	-0.004	0	0	0	0	0	0	0	0	1000.0
14.25	2.134	2.138	-0.004	-0.002	-0.002	1.442	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
14.5	2.173	2.174	-0.004	0.002	-0.0	1.475	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
14.75	2.209	2.213	-0.002	-0.003	-0.001	1.496	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
15.0	2.249	2.25	0.001	0.0	-0.003	1.52	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
15.25	2.286	2.289	0.001	-0.002	-0.001	1.606	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
15.5	2.322	2.323	-0.001	-0.002	-0.001	1.635	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
15.75	2.359	2.365	-0.001	-0.002	-0.001	1.66	-0.003	-0.004	0	0	0	0	0	0	0	0	1000.0
16.0	2.395	2.396	-0.002	-0.003	0.002	1.699	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
16.25	2.434	2.438	-0.002	-0.005	-0.0	1.724	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
16.5	2.473	2.477	-0.002	-0.001	0.003	1.757	-0.001	-0.003	0	0	0	0	0	0	0	0	1000.0
16.75	2.51	2.516	0.0	-0.003	-0.0	1.799	-0.002	-0.001	0	0	0	0	0	0	0	1	1000.0
17.0	2.549	2.55	-0.001	0.0	0.001	1.828	-0.001	0.003	0	0	0	0	0	0	0	0	1000.0
17.25	2.586	2.589	-0.002	0.002	0.002	1.856	0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
17.5	2.623	2.626	0.001	-0.002	0.001	1.882	-0.003	-0.004	0	0	0	0	0	0	0	0	1000.0
17.75	2.659	2.663	-0.001	-0.005	0.002	1.912	-0.005	0.001	0	0	0	0	0	0	0	0	1000.0
18.0	2.698	2.702	0.001	0.0	-0.004	1.972	-0.004	-0.0	0	0	0	0	0	0	0	0	1000.0
18.25	2.734	2.735	-0.003	-0.004	-0.001	1.997	-0.001	-0.004	0	0	0	0	0	0	0	1	1000.0
18.5	2.772	2.773	0.001	0.0	-0.001	2.028	-0.003	-0.002	0	0	0	0	0	0	0	1	1000.0
18.75	2.81	2.811	-0.002	-0.003	-0.003	2.058	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
19.0	2.849	2.85	-0.003	-0.006	-0.001	2.084	-0.001	-0.004	0	0	0	0	0	0	0	0	1000.0
19.25	2.883	2.889	0.0	-0.006	-0.004	2.111	-0.004	-0.003	0	0	0	0	0	0	0	4	1000.0
19.5	2.923	2.926	0.0	-0.001	0.001	2.143	-0.003	-0.002	0	0	0	0	0	0	0	5	1000.0
19.75	2.959	2.96	0.0	-0.005	-0.001	2.172	-0.003	-0.002	0	0	0	0	0	0	0	5	1000.0
20.0	2.996	3.0	0.001	-0.002	-0.002	2.199	-0.001	0.002	0	0	0	0	0	0	0	6	1000.0
20.25	3.034	3.033	-0.003	-0.004	0.001	2.229	-0.003	-0.002	0	0	0	1	0	0	0	8	1000.0
20.5	3.072	3.076	-0.001	0.0	-0.0	2.256	0.0	0.001	0	0	0	0	0	0	0	5	1000.0
20.75	3.108	3.112	0.0	-0.003	-0.001	2.319	-0.003	-0.004	0	0	0	0	0	0	0	11	1000.0
21.0	3.147	3.15	-0.003	-0.004	-0.001	2.346	-0.003	-0.0	0	0	0	0	0	0	0	19	1000.0
21.25	3.184	3.187	-0.002	-0.001	-0.0	2.378	0.0	-0.004	0	0	0	3	0	0	0	27	1000.0
21.5	3.223	3.224	-0.002	-0.003	-0.0	2.405	-0.002	0.003	0	0	0	3	0	0	0	30	1000.0
21.75	3.26	3.261	-0.001	-0.002	-0.002	2.523	-0.004	-0.003	0	0	0	2	0	0	0	52	1000.0
22.0	3.296	3.297	0.0	0.818	0.002	2.556	0.0	-0.004	0	0	0	4	0	0	0	66	1000.0
22.25	3.333	3.339	-0.002	0.822	0.001	2.585	-0.003	-0.004	0	0	0	0	0	0	0	103	1000.0
22.5	3.37	3.373	-0.001	0.835	-0.001	2.612	0.002	-0.002	0	0	0	0	0	0	0	134	1000.0
22.75	3.408	3.412	0.0	0.844	-0.0	2.644	-0.002	-0.001	0	0	0	0	0	0	0	195	1000.0
23.0	3.447	3.45	-0.003	0.856	0.001	2.673	-0.003	-0.002	0	0	0	0	0	0	0	268	1000.0
23.25	3.487	3.485	-0.002	0.866	-0.001	2.727	-0.003	-0.0	0	0	0	0	0	0	0	404	1000.0
23.5	3.523	3.522	-0.002	0.874	0.001	2.756	-0.001	-0.0	0	0	0	0	0	0	0	508	1000.0
23.75	3.56	3.563	0.0	0.881	-0.003	2.785	-0.003	-0.002	0	0	0	0	0	0	0	738	1000.0
24.0	3.595	3.598	0.001	0.891	0.002	2.815	0.0	0.003	0	0	0	0	0	0	0	1115	1000.0
24.25	3.636	3.635	-0.001	0.904	-0.002	2.846	-0.004	-0.003	0	0	0	0	0	0	0	1588	1000.0
24.5	3.672	3.673	0.002	0.907	-0.0	2.881	-0.005	-0.001	0	0	0	0	0	0	0	2539	1000.0
24.75	3.708	3.709	0.0	0.917	-0.003	2.951	-0.003	-0.0	0	0	0	0	0	0	0	5208	1000.0
25.0	3.745	3.749	-0.002	0.927	-0.002	2.98	-0.001	-0.005	0	0	0	0	0	0	0	17246	1000.0
25.25	3.785	3.786	-0.004	0.937	-0.0	3.052	-0.002	0.001	0	0	0	0	0	0	0	76152	1000.0
25.5	3.819	3.825	-0.004	0.948	-0.0	3.081	-0.002	3.054	0	0	0	0	0	0	0	1	1000.0
25.75	3.861	3.859	0.001	0.957	-0.001	3.113	-0.003	3.087	0	0	0	0	0	0	0	0	1000.0
26.0	3.897	3.898	-0.004	0.967	-0.0	3.142	0.0	3.204	0	0	0	0	0	0	0	0	1000.0
26.25	3.933	3.937	-0.002	0.974	-0.003	3.171	-0.001	3.238	0	0	0	0	0	0	0	0	1000.0
26.5	3.975	3.976	-0.002	0.984	0.004	3.203	-0.001	3.268	0	0	0	0	0	0	0	0	1000.0
26.75	4.012	4.013	-0.004	0.991	0.001	3.234	0.001	3.3	0	0	0	0	0	0	0	0	1000.0
27.0	4.049	4.05	-0.004	1.009	0.001	3.263	-0.001	3.333	0	0	0	0	0	0	0	0	1000.0
27.25	4.083	4.087	-0.001	1.013	-0.001	3.293	-0.003	3.362	0	0	0	0	0	0	0	0	1000.0
27.5	4.124	4.123	-0.002	1.023	-0.0	3.33	0.0	3.394	0	0	0	0	0	0	0	0	1000.0
27.75	4.158	4.162	0.0	1.032	0.001	3.376	-0.001	3.438	0	0	0	0	0	0	0	0	1000.0
28.0	4.197	4.201	-0.002	1.04	-0.001	3.41	-0.001	3.47	0	0	0	0	0	0	0	0	1000.0
28.25	4.234	4.235	-0.002	1.052	-0.003	3.44	-0.002	3.502	0	0	0	0	1	0	0	0	1000.0
28.5	4.274	4.275	0.001	1.06	-0.001	3.469	-0.001	3.531	0	0	0	0	0	0	0	0	1000.0
28.75	4.31	4.311	0.001	1.07	0.001	3.501	-0.003	3.562	0	0	0	0	3	0	0	0	1000.0
29.0	4.349	4.35	0.001	1.079	0.002	3.536	0.002	3.592	0	0	0	0	3	0	0	0	1000.0
29.25	4.383	4.387	-0.004	1.087	-0.001	3.562	-0.001	3.627	0	0	0	0	2	0	0	0	1000.0
29.5	4.423	4.426	0.003	1.094	0.001	3.591	-0.003	3.659	0	0	0	0	2	0	0	0	1000.0
29.75	4.459	4.463	-0.001	1.109	0.001	3.666	-0.006	3.689	0	0	0	0	1	0	0	0	1000.0
30.0	4.501	4.499	-0.001	1.114	-0.001	3.699	0.002	3.724	0	0	0	0	3	0	0	0	1000.0
30.25	4.535	4.533	-0.001	1.123	-0.001	3.73	-0.001	3.753	0	0	0	0	8	0	0	0	1000.0
30.5	4.572	4.576	-0.001	1.136	0.002	3.77	-0.002	3.784	0	0	0	0	12	0	0	0	1000.0
30.75	4.609	4.608	0.0	1.142	-0.0	3.802	-0.002	3.814	0	0	0	0	48	0	0	0	1000.0
31.0	4.647	4.648	0.0	1.154	0.001	3.835	-0.001	3.938	0	0	0	0	134	0	0	0	1000.0
31.25	4.683	4.686	0.0	1.159	-0.001	3.909	-0.003	3.974	0	0	0	0	403	0	0	0	1000.0
31.5	4.723	4.726	-0.001	1.172	-0.003	3.94	-0.005	4.003	0	0	0	0	1470	0	0	0	1000.0
31.75	4.76	4.763	0.001	1.182	-0.002	3.972	-0.001	4.038	0	0	0	0	5898	0	0	0	1000.0
32.0	4.799	4.8	0.001	1.192	0.002	4.002	-0.002	4.067	0	0	0	0	24512	0	0	0	1000.0
32.25	4.835	4.836	-0.001	1.199	3.812	4.038	-0.001	4.103	0	0	0	0	1	0	0	0	1000.0
32.5	4.872	4.875	-0.001	1.206	3.845	4.065	0.002	4.131	0	0	0	0	0	0	0	0	1000.0
32.75	4.908	4.914	-0.001	1.219	3.873	4.099	-0.001	4.166	0	0	0	0	0	0	0	0	1000.0
33.0	4.947	4.948	0.0	1.228	3.939	4.133	-0.001	4.201	0	0	0	0	0	0	0	0	1000.0
33.25	4.984	4.988	-0.001	1.236	3.971	4.162	-0.001	4.227	0	0	0	0	0	0	0	0	1000.0
33.5	5.023	5.024	-0.002	1.242	4.043	4.195	0.0	4.262	0	0	0	0	0	0	0	0	1000.0
33.75	5.057	5.06	-0.002	1.252	4.069	4.226	-0.003	4.293	0	0	0	0	0	0	0	0	1000.0
34.0	5.098	5.099	-0.002	1.262	4.104	4.258	0.0	4.326	0	0	0	0	0	0	0	0	1000.0
34.25	5.136	5.137	0.002	1.275	4.133	4.293	0.0	4.36	0	0	0	0	0	0	0	0	1000.0
34.5	5.169	5.175	-0.002	1.279	4.164	4.321	-0.001	4.391	0	0	0	0	0	0	0	0	1000.0
34.75	5.21	5.211	-0.003	1.291	4.2	4.352	-0.004	4.421	0	0	0	0	0	0	0	0	1000.0
35.0	5.248	5.249	0.001	1.299	4.228	4.382	-0.005	4.455	0	0	0	0	0	0	0	0	1000.0
35.25	5.285	5.286	-0.001	1.31	4.263	4.421	-0.003	4.486	0	0	0	0	0	0	0	0	1000.0
35.5	5.321	5.325	0.001	1.319	4.289	4.446	-0.003	4.594	0	0	0	0	0	0	0	0	1000.0
35.75	5.36	5.361	-0.002	1.328	4.324	4.478	-0.005	4.628	0	0	0	0	0	0	0	0	1000.0
36.0	5.397	5.398	0.001	1.338	4.356	4.514	-0.001	4.662	0	0	0	0	0	0	0	0	1000.0
36.25	5.435	5.436	0.0	1.347	4.388	4.544	0.0	4.692	0	0	0	0	0	0	0	0	1000.0
36.5	5.47	5.474	-0.004	1.355	4.423	4.573	-0.003	4.728	0	0	0	0	0	0	0	0	1000.0
36.75	5.509	5.51	0.001	1.365	4.484	4.604	-0.004	4.756	0	0	0	0	0	0	0	0	1000.0
37.0	5.548	5.551	0.0	1.374	4.522	4.638	-0.004	4.791	0	0	0	0	0	0	0	0	1000.0
37.25	5.587	5.588	0.001	1.387	4.553	4.671	-0.002	4.826	0	0	0	0	0	0	0	0	1000.0
37.5	5.618	5.621	-0.003	1.388	4.582	4.699	-0.006	4.857	0	0	0	0	0	0	0	0	1000.0
37.75	5.658	5.662	-0.001	1.402	4.619	4.734	-0.005	4.889	0	0	0	0	0	0	0	0	1000.0
38.0	5.697	5.695	-0.002	1.411	4.648	4.766	-0.005	4.924	0	0	0	0	0	0	0	0	1000.0
38.25	5.731	5.737	-0.001	1.421	4.678	4.798	-0.003	4.955	0	0	0	0	0	0	0	0	1000.0
38.5	5.77	5.773	0.0	1.426	4.716	4.829	-0.003	4.987	0	0	0	0	0	0	0	0	1000.0
38.75	5.809	5.808	0.0	1.438	4.749	5.094	-0.002	5.071	0	0	0	0	0	0	0	0	1000.0
39.0	5.849	5.847	0.001	1.448	4.78	5.13	-0.002	5.102	0	0	0	0	0	0	0	0	1000.0
39.25	5.886	5.884	0.002	1.456	4.814	5.164	-0.001	5.136	0	0	0	0	0	0	0	0	1000.0
39.5	5.921	5.922	-0.002	1.467	4.845	5.198	-0.001	5.168	0	0	0	0	0	0	0	0	1000.0
39.75	5.958	5.959	0.677	1.474	4.872	5.229	4.805	5.201	0	0	1	0	0	0	0	0	1000.0
40.0	5.999	5.998	0.682	1.487	4.906	5.263	4.836	5.272	0	0	0	0	0	0	0	0	1000.0
40.25	6.034	6.038	0.687	1.495	4.938	5.296	4.869	5.302	0	0	0	0	0	0	0	0	1000.0
40.5	6.073	6.074	0.69	1.502	4.973	5.33	4.899	5.337	0	0	0	0	0	0	0	0	1000.0
40.75	6.11	6.111	0.697	1.512	5.005	5.364	4.93	5.37	0	0	0	0	0	0	0	0	1000.0
41.0	6.147	6.148	0.699	1.521	5.037	5.43	4.962	5.405	0	0	0	0	0	0	0	0	1000.0
41.25	6.184	6.185	0.703	1.532	5.071	5.465	4.992	5.438	0	0	0	0	0	0	0	0	1000.0
41.5	6.219	6.223	0.709	1.543	5.104	5.498	5.095	5.467	0	0	0	0	0	0	0	0	1000.0
41.75	6.261	6.26	0.714	1.548	5.139	5.533	5.131	5.505	0	0	0	0	0	0	0	0	1000.0
42.0	6.297	6.298	0.716	1.555	5.17	5.567	5.159	5.615	0	0	0	0	0	0	0	0	1000.0
42.25	6.337	6.336	0.719	1.568	5.199	5.598	5.271	5.647	0	0	0	0	0	0	0	0	1000.0
42.5	6.371	6.375	0.726	1.573	5.231	5.633	5.303	5.685	0	0	0	0	0	0	0	0	1000.0
42.75	6.41	6.411	0.729	1.585	5.273	5.689	5.336	5.718	0	0	0	0	0	0	0	0	1000.0
43.0	6.446	6.45	0.733	1.594	5.304	5.721	5.367	5.748	0	0	0	0	0	0	0	0	1000.0
43.25	6.483	6.486	0.738	1.604	5.348	5.758	5.4	5.784	0	0	0	0	0	0	0	0	1000.0
