BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.001	-0.0	0.0	-0.001	-0.0	-0.0	-0.005	0.001	0	0	0	1	1	0	0	1	100.0
0.25	0.034	0.035	-0.004	-0.001	-0.0	0.002	0.0	0.001	0	0	0	0	0	0	0	0	100.0
0.5	0.073	0.071	0.0	-0.001	0.001	-0.001	-0.003	-0.004	0	0	0	0	0	0	0	0	100.0
0.75	0.112	0.113	0.0	-0.003	-0.001	-0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
1.0	0.144	0.15	-0.004	-0.002	-0.002	-0.002	0.001	-0.001	0	0	0	0	0	0	0	0	100.0
1.25	0.186	0.184	0.001	-0.002	-0.001	-0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
1.5	0.222	0.225	-0.002	-0.001	-0.001	-0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
1.75	0.261	0.262	-0.002	-0.005	-0.001	-0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
2.0	0.294	0.298	0.0	-0.006	-0.003	-0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
2.25	0.334	0.335	-0.004	-0.001	0.002	-0.0	-0.002	-0.001	0	0	0	0	0	0	0	0	100.0
2.5	0.371	0.372	-0.002	-0.003	0.002	-0.0	-0.005	0.001	0	0	0	0	0	0	0	0	100.0
2.75	0.41	0.411	0.0	-0.003	-0.002	0.001	-0.004	-0.003	0	0	0	0	0	0	0	0	100.0
3.0	0.449	0.448	0.001	-0.002	-0.001	-0.003	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
3.25	0.486	0.487	0.001	0.0	-0.001	-0.003	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
3.5	0.522	0.525	-0.002	-0.001	0.001	0.001	-0.001	-0.003	0	0	0	0	0	0	0	0	100.0
3.75	0.564	0.56	-0.001	-0.002	-0.003	0.019	0.002	-0.001	0	0	0	0	0	0	0	0	100.0
4.0	0.598	0.596	-0.002	-0.001	-0.001	0.023	-0.005	-0.002	0	0	0	0	0	0	0	0	100.0
4.25	0.632	0.635	-0.002	-0.001	-0.003	0.036	-0.005	0.001	0	0	0	0	0	0	0	0	100.0
4.5	0.672	0.673	-0.001	0.0	-0.0	0.073	0.002	-0.001	0	0	0	0	0	0	0	0	100.0
4.75	0.708	0.712	0.001	-0.005	0.001	0.126	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
5.0	0.745	0.748	-0.001	-0.002	0.002	0.163	-0.005	-0.004	0	0	0	0	0	0	0	0	100.0
5.25	0.781	0.782	0.001	-0.002	0.001	0.17	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
5.5	0.823	0.822	-0.004	-0.002	-0.002	0.233	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
5.75	0.863	0.859	-0.001	-0.002	-0.004	0.247	-0.004	-0.003	0	0	0	0	0	0	0	0	100.0
6.0	0.896	0.902	-0.002	-0.003	0.001	0.292	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
6.25	0.933	0.936	0.001	-0.002	-0.002	0.309	-0.001	-0.003	0	0	0	0	0	0	0	0	100.0
6.5	0.974	0.97	-0.002	-0.001	-0.002	0.377	-0.004	-0.003	0	0	0	0	0	0	0	0	100.0
6.75	1.009	1.01	-0.001	-0.005	0.002	0.395	-0.002	0.001	0	0	0	0	0	0	0	0	100.0
7.0	1.048	1.051	-0.001	-0.005	-0.001	0.431	-0.005	-0.0	0	0	0	0	0	0	0	0	100.0
7.25	1.081	1.085	-0.002	-0.003	-0.001	0.448	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
7.5	1.123	1.119	-0.002	-0.001	0.001	0.49	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
7.75	1.158	1.159	-0.001	0.0	-0.001	0.514	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
8.0	1.197	1.198	0.001	-0.002	0.004	0.531	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
8.25	1.234	1.235	0.002	-0.002	-0.001	0.575	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
8.5	1.272	1.273	-0.004	-0.003	-0.0	0.598	-0.002	0.001	0	0	0	0	0	0	0	0	100.0
8.75	1.308	1.309	-0.002	-0.003	0.001	0.671	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
9.0	1.347	1.348	-0.002	-0.003	-0.001	0.693	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
9.25	1.382	1.388	0.001	-0.002	0.002	0.737	-0.002	-0.001	0	0	0	0	0	0	0	0	100.0
9.5	1.421	1.425	-0.001	-0.002	0.001	0.756	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
9.75	1.457	1.46	-0.005	-0.004	0.002	0.779	0.0	-0.001	0	0	0	0	0	0	0	0	100.0
10.0	1.498	1.499	0.002	-0.002	0.001	0.832	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
10.25	1.536	1.537	0.001	-0.005	-0.002	0.856	-0.001	-0.005	0	0	0	0	0	0	0	0	100.0
10.5	1.57	1.569	0.001	0.0	-0.001	0.942	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
10.75	1.609	1.61	-0.002	-0.003	-0.003	0.971	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
11.0	1.643	1.644	-0.002	-0.003	-0.001	0.995	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
11.25	1.685	1.686	0.001	-0.002	-0.001	1.032	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
11.5	1.723	1.717	-0.002	-0.003	-0.001	1.066	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
11.75	1.758	1.759	-0.001	-0.002	-0.003	1.088	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
12.0	1.795	1.796	0.001	-0.002	0.002	1.116	-0.005	0.001	0	0	0	0	0	0	0	1	100.0
12.25	1.836	1.837	-0.002	-0.003	-0.001	1.142	-0.003	-0.0	0	0	0	0	0	0	0	2	100.0
12.5	1.871	1.872	0.003	0.0	-0.001	1.166	-0.003	-0.002	0	0	0	0	0	0	0	5	100.0
12.75	1.907	1.911	0.001	-0.002	0.001	1.249	-0.003	-0.002	0	0	0	0	0	0	0	5	100.0
13.0	1.946	1.947	-0.004	-0.005	-0.001	1.276	-0.001	-0.002	0	0	0	0	0	0	0	8	100.0
13.25	1.983	1.984	-0.001	-0.002	0.002	1.306	0.0	0.001	0	0	0	0	0	0	0	10	100.0
13.5	2.022	2.023	-0.001	-0.002	-0.001	1.332	-0.001	-0.002	0	0	0	0	0	0	0	24	100.0
13.75	2.061	2.062	0.001	-0.002	0.001	1.373	-0.004	-0.0	0	0	0	0	0	0	0	36	100.0
14.0	2.095	2.098	0.0	-0.003	-0.003	1.418	0.0	-0.001	0	0	0	0	0	0	0	40	100.0
14.25	2.134	2.135	0.003	-0.005	0.001	1.442	0.002	-0.002	0	0	0	0	0	0	0	53	100.0
14.5	2.173	2.169	0.0	-0.003	-0.001	1.469	-0.001	-0.0	0	0	0	0	0	0	0	75	100.0
14.75	2.207	2.21	-0.002	-0.003	0.001	1.496	-0.003	-0.002	0	0	0	0	0	0	0	114	100.0
15.0	2.247	2.245	-0.004	0.0	0.004	1.52	-0.005	-0.002	0	0	0	0	0	0	0	153	100.0
15.25	2.282	2.283	-0.003	-0.001	-0.001	1.601	-0.001	-0.0	0	0	0	0	0	0	0	202	100.0
15.5	2.322	2.32	-0.002	-0.003	-0.001	1.633	-0.001	-0.002	0	0	0	0	0	0	0	212	100.0
15.75	2.361	2.36	0.001	-0.002	-0.003	1.663	0.0	-0.001	0	0	0	0	0	0	0	302	100.0
16.0	2.393	2.397	-0.001	-0.002	0.001	1.698	-0.004	-0.005	0	0	0	0	0	0	0	355	100.0
16.25	2.432	2.436	-0.001	0.0	-0.003	1.723	-0.003	-0.0	0	0	0	0	0	0	0	480	100.0
16.5	2.47	2.466	-0.003	-0.004	0.002	1.751	-0.002	-0.001	0	0	0	0	0	0	0	519	100.0
16.75	2.507	2.506	0.0	-0.003	0.001	1.796	-0.003	-0.002	0	0	0	0	0	0	0	678	100.0
