BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.0	0.001	0.001	-0.002	-0.003	0.001	-0.003	-0.0	0	0	0	0	1	0	0	1	1000.0
0.25	0.036	0.04	-0.002	-0.003	-0.002	-0.002	-0.004	-0.003	0	0	0	0	0	0	0	0	1000.0
0.5	0.072	0.076	-0.003	-0.004	-0.001	0.001	-0.005	-0.002	0	0	0	0	0	0	0	0	1000.0
0.75	0.112	0.113	-0.001	-0.002	0.001	0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
1.0	0.148	0.151	0.0	-0.006	0.002	-0.0	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
1.25	0.185	0.186	-0.002	-0.003	-0.002	-0.002	-0.004	-0.003	0	0	0	0	0	0	0	0	1000.0
1.5	0.222	0.223	-0.002	-0.001	-0.0	0.002	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
1.75	0.261	0.259	-0.002	-0.003	0.002	0.002	-0.002	0.001	0	0	0	0	0	0	0	0	1000.0
2.0	0.298	0.301	-0.001	-0.002	0.002	-0.0	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
2.25	0.337	0.338	-0.001	-0.005	-0.003	-0.0	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
2.5	0.374	0.377	-0.001	-0.002	0.001	0.001	-0.004	-0.003	0	0	0	0	0	0	0	0	1000.0
2.75	0.41	0.416	-0.002	-0.003	0.001	0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
3.0	0.446	0.45	-0.002	-0.003	-0.001	-0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
3.25	0.486	0.487	-0.004	-0.002	-0.001	0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
3.5	0.524	0.525	-0.002	-0.001	0.004	0.002	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
3.75	0.562	0.563	0.001	-0.002	-0.001	0.019	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
4.0	0.598	0.602	-0.001	0.0	-0.001	0.023	-0.001	-0.004	0	0	0	0	0	0	0	0	1000.0
4.25	0.634	0.638	-0.002	-0.003	-0.002	0.035	-0.004	-0.003	0	0	0	0	0	0	0	0	1000.0
4.5	0.67	0.671	-0.003	-0.004	0.001	0.075	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
4.75	0.711	0.717	-0.001	0.0	0.001	0.128	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
5.0	0.747	0.75	-0.002	-0.003	-0.003	0.166	-0.002	0.001	0	0	0	0	0	0	0	0	1000.0
5.25	0.783	0.787	-0.002	-0.005	-0.001	0.175	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
5.5	0.823	0.826	-0.001	-0.002	0.001	0.235	-0.001	-0.005	0	0	0	0	0	0	0	0	1000.0
5.75	0.86	0.864	-0.001	-0.002	-0.004	0.245	-0.006	-0.003	0	0	0	0	0	0	0	0	1000.0
6.0	0.898	0.899	-0.002	-0.003	0.001	0.291	-0.001	-0.003	0	0	0	0	0	0	0	0	1000.0
6.25	0.935	0.936	-0.002	-0.003	-0.0	0.305	0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
6.5	0.974	0.972	-0.002	-0.003	0.001	0.38	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
6.75	1.013	1.011	0.0	-0.001	0.001	0.397	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
7.0	1.048	1.051	-0.001	-0.002	0.001	0.434	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
7.25	1.086	1.087	-0.002	-0.003	0.001	0.448	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
7.5	1.125	1.121	-0.002	-0.005	-0.002	0.494	-0.004	-0.0	0	0	0	0	0	0	0	0	1000.0
7.75	1.162	1.163	0.003	-0.003	-0.002	0.514	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
8.0	1.198	1.202	0.0	-0.003	-0.001	0.534	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
8.25	1.236	1.239	-0.001	-0.002	0.002	0.578	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
8.5	1.272	1.276	-0.001	-0.002	0.001	0.597	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
8.75	1.308	1.312	-0.002	-0.003	0.002	0.674	-0.002	0.001	0	0	0	0	0	0	0	0	1000.0
9.0	1.35	1.347	-0.001	0.0	-0.001	0.712	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
9.25	1.386	1.387	0.0	-0.003	-0.001	0.734	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
9.5	1.424	1.425	0.001	0.0	-0.0	0.757	-0.002	0.001	0	0	0	0	0	0	0	0	1000.0
9.75	1.458	1.461	-0.004	-0.002	0.002	0.781	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
10.0	1.502	1.5	0.001	-0.002	-0.002	0.834	-0.004	-0.005	0	0	0	0	0	0	0	0	1000.0
10.25	1.535	1.538	-0.005	-0.004	-0.002	0.856	-0.001	-0.003	0	0	0	0	0	0	0	0	1000.0
10.5	1.575	1.576	-0.001	-0.002	0.001	0.944	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
10.75	1.612	1.615	0.001	0.0	-0.001	0.973	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
11.0	1.651	1.652	-0.004	-0.002	-0.001	0.995	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
11.25	1.687	1.686	-0.004	-0.002	-0.003	1.032	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
11.5	1.721	1.724	-0.002	-0.003	-0.0	1.067	-0.002	-0.004	0	0	0	0	0	0	0	0	1000.0
11.75	1.76	1.761	-0.004	-0.001	-0.002	1.09	-0.004	-0.0	0	0	0	0	0	0	0	0	1000.0
12.0	1.8	1.801	0.001	0.0	0.002	1.116	-0.005	-0.004	0	0	0	0	0	0	0	0	1000.0
12.25	1.836	1.834	0.0	-0.003	-0.001	1.142	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
12.5	1.871	1.874	-0.001	-0.002	-0.004	1.163	0.001	-0.003	0	0	0	0	0	0	0	0	1000.0
12.75	1.909	1.908	-0.002	-0.001	0.001	1.254	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
13.0	1.946	1.95	-0.004	0.0	-0.003	1.279	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
13.25	1.984	1.988	-0.005	-0.004	-0.001	1.305	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
13.5	2.024	2.025	-0.002	-0.003	0.001	1.33	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
13.75	2.06	2.058	0.0	-0.004	-0.0	1.394	0.0	-0.004	0	0	0	0	0	0	0	0	1000.0
14.0	2.095	2.098	-0.002	-0.003	-0.0	1.418	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
14.25	2.134	2.138	-0.001	0.0	-0.003	1.445	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
14.5	2.176	2.174	-0.001	-0.005	-0.001	1.474	-0.003	0.003	0	0	0	0	0	0	0	0	1000.0
14.75	2.212	2.21	-0.002	-0.003	-0.003	1.498	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
15.0	2.249	2.25	-0.002	-0.001	0.001	1.522	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
15.25	2.283	2.286	0.0	-0.003	-0.001	1.606	-0.005	-0.002	0	0	0	0	0	0	0	0	1000.0
15.5	2.324	2.325	-0.002	-0.001	-0.001	1.635	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
15.75	2.361	2.362	0.001	-0.002	0.002	1.66	-0.002	0.001	0	0	0	0	0	0	0	1	1000.0
16.0	2.398	2.399	0.001	-0.002	-0.001	1.699	-0.001	-0.002	0	0	0	0	0	0	0	2	1000.0
16.25	2.432	2.438	-0.004	0.0	0.001	1.725	-0.006	-0.0	0	0	0	0	0	0	0	0	1000.0
