BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.003	-0.0	-0.002	-0.001	0.001	-0.001	-0.003	-0.002	0	0	0	1	1	0	0	1	1000.0
0.25	0.037	0.04	-0.001	-0.002	-0.001	-0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
0.5	0.075	0.074	-0.002	-0.003	0.002	0.002	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
0.75	0.11	0.113	0.001	-0.002	-0.002	0.001	-0.004	-0.005	0	0	0	0	0	0	0	0	1000.0
1.0	0.146	0.149	-0.002	-0.003	0.001	0.001	-0.001	-0.005	0	0	0	0	0	0	0	0	1000.0
1.25	0.188	0.187	0.001	-0.002	0.001	-0.002	-0.006	-0.003	0	0	0	0	0	0	0	0	1000.0
1.5	0.222	0.225	-0.002	-0.001	0.001	-0.002	-0.001	-0.003	0	0	0	0	0	0	0	0	1000.0
1.75	0.263	0.262	-0.004	-0.005	0.002	0.004	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
2.0	0.301	0.302	-0.001	-0.002	-0.001	-0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
2.25	0.333	0.337	-0.003	-0.004	-0.001	-0.001	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
2.5	0.372	0.373	-0.003	-0.001	0.001	-0.001	-0.005	-0.002	0	0	0	0	0	0	0	0	1000.0
2.75	0.41	0.416	0.0	-0.003	0.001	-0.001	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
3.0	0.449	0.45	0.001	-0.005	0.004	-0.0	0.0	-0.004	0	0	0	0	0	0	0	0	1000.0
3.25	0.488	0.486	-0.002	-0.003	-0.0	0.002	0.002	0.001	0	0	0	0	0	0	0	0	1000.0
3.5	0.524	0.525	0.0	-0.003	0.001	0.001	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
3.75	0.558	0.564	0.0	-0.006	-0.001	0.019	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
4.0	0.598	0.606	-0.002	-0.001	-0.0	0.022	-0.002	0.001	0	0	0	0	0	0	0	0	1000.0
4.25	0.637	0.636	0.001	0.0	0.002	0.036	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
