Stage position,Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99258,1330,7068,NaN,1000,185879,36,7068,0,1330,0,0
9.05972,400,3269,NaN,1000,186400,42,3269,0,400,0,0
9.13236,967,4783,NaN,1000,186976,28,4783,0,967,0,0
9.20011,2386,10108,NaN,1000,186225,34,10108,0,2386,0,0
9.26969,3311,13687,NaN,1000,185746,26,13687,0,3311,0,0
9.34172,2663,12142,NaN,1000,186030,25,12142,0,2663,0,0
9.41008,1197,6779,NaN,1000,186613,34,6779,0,1197,0,0
9.47905,380,3231,NaN,1000,186512,29,3231,0,380,0,0
9.54924,1061,5254,NaN,1000,186738,23,5254,0,1061,0,0
9.62004,2492,10504,NaN,1000,186459,32,10504,0,2492,0,0
9.68902,3268,13694,NaN,1000,186406,30,13694,0,3268,0,0
9.76043,2662,11840,NaN,1000,186296,23,11840,0,2662,0,0
9.83001,1169,6862,NaN,1000,186825,22,6862,0,1169,0,0
9.89959,380,3298,NaN,1000,187487,28,3298,0,380,0,0
9.96796,1256,5603,NaN,1000,186997,32,5603,0,1256,0,0
10.0394,2612,10938,NaN,1000,186186,29,10938,0,2612,0,0
10.1083,3292,13650,NaN,1000,186508,34,13650,0,3292,0,0
10.1791,2386,11034,NaN,1000,186427,19,11034,0,2386,0,0
10.2475,878,5538,NaN,1000,186540,25,5538,0,878,0,0
10.3183,456,3307,NaN,1000,187015,27,3307,0,456,0,0
10.3848,1529,6691,NaN,1000,185910,32,6691,0,1529,0,0
10.4569,2959,11892,NaN,1000,186214,41,11892,0,2959,0,0
10.5252,3106,13277,NaN,1000,186097,41,13277,0,3106,0,0
10.5948,2149,10441,NaN,1000,185841,22,10441,0,2149,0,0
10.6662,870,5420,NaN,1000,187285,24,5420,0,870,0,0
10.7358,471,3304,NaN,1000,185843,27,3304,0,471,0,0
10.806,1596,6882,NaN,1000,186780,44,6882,0,1596,0,0
10.8762,2989,12151,NaN,1000,186171,39,12151,0,2989,0,0
10.9464,3037,13141,NaN,1000,186416,22,13141,0,3037,0,0
11.0147,1823,9342,NaN,1000,186721,18,9342,0,1823,0,0
