Stage position,Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99442,2575,11882,NaN,1000,186918,26,11882,0,2575,0,0
9.05972,3213,13398,NaN,1000,187150,13,13398,0,3213,0,0
9.13114,2524,9938,NaN,1000,186117,24,9938,0,2524,0,0
9.20072,1283,5513,NaN,1000,186628,52,5513,0,1283,0,0
9.26908,426,3444,NaN,1000,186639,32,3444,0,426,0,0
9.3405,962,6002,NaN,1000,187232,44,6002,0,962,0,0
9.41008,2251,10573,NaN,1000,186720,37,10573,0,2251,0,0
9.48149,3121,13503,NaN,1000,187072,20,13503,0,3121,0,0
9.5529,2748,11125,NaN,1000,186637,13,11125,0,2748,0,0
9.62249,1373,6066,NaN,1000,186490,19,6066,0,1373,0,0
9.68841,503,3428,NaN,1000,186575,26,3428,0,503,0,0
9.76104,757,5530,NaN,1000,186535,26,5530,0,757,0,0
9.82696,2274,10624,NaN,1000,187623,35,10624,0,2274,0,0
9.89776,3237,13615,NaN,1000,187476,31,13615,0,3237,0,0
9.96857,2697,11176,NaN,1000,186821,36,11176,0,2697,0,0
10.0394,1462,6304,NaN,1000,186725,27,6304,0,1462,0,0
10.109,398,3467,NaN,1000,187312,45,3467,0,398,0,0
10.1773,1064,6535,NaN,1000,187024,16,6535,0,1064,0,0
10.2469,2281,11226,NaN,1000,186330,34,11226,0,2281,0,0
10.3177,3191,13776,NaN,1000,186439,27,13776,0,3191,0,0
10.3861,2871,11456,NaN,1000,187199,33,11456,0,2871,0,0
10.4556,1385,6216,NaN,1000,186030,19,6216,0,1385,0,0
10.5258,383,3243,NaN,1000,187049,22,3243,0,383,0,0
10.5948,804,5546,NaN,1000,186748,29,5546,0,804,0,0
10.665,2323,11196,NaN,1000,186944,30,11196,0,2323,0,0
10.7352,3268,13739,NaN,1000,186635,36,13739,0,3268,0,0
10.8042,2691,10969,NaN,1000,186553,41,10969,0,2691,0,0
10.875,1245,5603,NaN,1000,187386,39,5603,0,1245,0,0
10.9439,388,3200,NaN,1000,187075,29,3200,0,388,0,0
11.0135,902,5911,NaN,1000,185842,37,5911,0,902,0,0
