stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99380,427.000,3517.00,NaN,1000.00,186320,27.0000,3517.00,0.00000,427.000,0.00000,0.00000
9.02493,400.000,3446.00,NaN,1000.00,186085,32.0000,3446.00,0.00000,400.000,0.00000,0.00000
9.05972,457.000,3542.00,NaN,1000.00,186139,32.0000,3542.00,0.00000,457.000,0.00000,0.00000
9.09452,429.000,3551.00,NaN,1000.00,187104,24.0000,3551.00,0.00000,429.000,0.00000,0.00000
9.13175,446.000,3620.00,NaN,1000.00,186422,27.0000,3620.00,0.00000,446.000,0.00000,0.00000
9.16837,432.000,3613.00,NaN,1000.00,186818,28.0000,3613.00,0.00000,432.000,0.00000,0.00000
9.20255,455.000,3750.00,NaN,1000.00,187374,18.0000,3750.00,0.00000,455.000,0.00000,0.00000
9.23551,444.000,3644.00,0.00000,1000.00,186522,35.0000,3644.00,1.00000,444.000,0.00000,0.00000
9.26969,488.000,3769.00,NaN,1000.00,186681,32.0000,3769.00,0.00000,488.000,0.00000,0.00000
9.30692,494.000,3727.00,NaN,1000.00,186219,39.0000,3727.00,0.00000,494.000,0.00000,0.00000
9.34294,434.000,3583.00,NaN,1000.00,186756,45.0000,3583.00,0.00000,434.000,0.00000,0.00000
9.37529,408.000,3519.00,NaN,1000.00,186648,27.0000,3519.00,0.00000,408.000,0.00000,0.00000
9.40947,377.000,3486.00,0.00000,1000.00,186813,31.0000,3486.00,1.00000,377.000,0.00000,0.00000
9.44548,391.000,3541.00,NaN,1000.00,186831,22.0000,3541.00,0.00000,391.000,0.00000,0.00000
9.47905,392.000,3314.00,NaN,1000.00,187164,28.0000,3314.00,0.00000,392.000,0.00000,0.00000
9.51567,436.000,3650.00,NaN,1000.00,186639,28.0000,3650.00,0.00000,436.000,0.00000,0.00000
9.55107,446.000,3631.00,NaN,1000.00,187420,29.0000,3631.00,0.00000,446.000,0.00000,0.00000
