stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99380,894.000,5275.00,NaN,1000.00,186091,33.0000,5275.00,0.00000,894.000,0.00000,0.00000
9.02493,971.000,5463.00,NaN,1000.00,186644,28.0000,5463.00,0.00000,971.000,0.00000,0.00000
9.06034,929.000,5310.00,NaN,1000.00,186169,27.0000,5310.00,0.00000,929.000,0.00000,0.00000
9.09574,984.000,5269.00,NaN,1000.00,186736,34.0000,5269.00,0.00000,984.000,0.00000,0.00000
9.12931,983.000,5269.00,NaN,1000.00,186488,23.0000,5269.00,0.00000,983.000,0.00000,0.00000
9.16837,973.000,5351.00,NaN,1000.00,186771,27.0000,5351.00,0.00000,973.000,0.00000,0.00000
9.20255,941.000,5435.00,NaN,1000.00,186804,36.0000,5435.00,0.00000,941.000,0.00000,0.00000
9.23429,946.000,5323.00,NaN,1000.00,186943,28.0000,5323.00,0.00000,946.000,0.00000,0.00000
9.26908,974.000,5464.00,NaN,1000.00,186515,38.0000,5464.00,0.00000,974.000,0.00000,0.00000
9.30448,938.000,5417.00,NaN,1000.00,186457,38.0000,5417.00,0.00000,938.000,0.00000,0.00000
9.34050,1006.00,5500.00,NaN,1000.00,186210,27.0000,5500.00,0.00000,1006.00,0.00000,0.00000
9.37284,1009.00,5409.00,NaN,1000.00,186976,31.0000,5409.00,0.00000,1009.00,0.00000,0.00000
9.41252,956.000,5366.00,NaN,1000.00,186531,38.0000,5366.00,0.00000,956.000,0.00000,0.00000
9.44548,901.000,5295.00,NaN,1000.00,186640,41.0000,5295.00,0.00000,901.000,0.00000,0.00000
9.48027,948.000,5339.00,NaN,1000.00,186707,21.0000,5339.00,0.00000,948.000,0.00000,0.00000
9.51628,951.000,5443.00,NaN,1000.00,186895,22.0000,5443.00,0.00000,951.000,0.00000,0.00000
9.55046,924.000,5325.00,NaN,1000.00,185821,25.0000,5325.00,0.00000,924.000,0.00000,0.00000
9.58342,983.000,5419.00,NaN,1000.00,186858,42.0000,5419.00,0.00000,983.000,0.00000,0.00000
9.61943,949.000,5317.00,NaN,1000.00,186186,24.0000,5317.00,0.00000,949.000,0.00000,0.00000
9.65606,1005.00,5395.00,NaN,1000.00,186520,40.0000,5395.00,0.00000,1005.00,0.00000,0.00000
9.68963,986.000,5263.00,NaN,1000.00,187083,30.0000,5263.00,0.00000,986.000,0.00000,0.00000
9.72442,940.000,5382.00,NaN,1000.00,186436,14.0000,5382.00,0.00000,940.000,0.00000,0.00000
9.75921,1009.00,5440.00,NaN,1000.00,186417,30.0000,5440.00,0.00000,1009.00,0.00000,0.00000
9.79461,928.000,5271.00,NaN,1000.00,186558,32.0000,5271.00,0.00000,928.000,0.00000,0.00000
9.82696,958.000,5173.00,NaN,1000.00,186322,24.0000,5173.00,0.00000,958.000,0.00000,0.00000
9.86419,950.000,5256.00,NaN,1000.00,186808,26.0000,5256.00,0.00000,950.000,0.00000,0.00000
9.89776,946.000,5189.00,NaN,1000.00,187346,26.0000,5189.00,0.00000,946.000,0.00000,0.00000
9.93439,885.000,5274.00,NaN,1000.00,185374,15.0000,5274.00,0.00000,885.000,0.00000,0.00000
9.96735,999.000,5367.00,NaN,1000.00,186978,22.0000,5367.00,0.00000,999.000,0.00000,0.00000
10.0027,985.000,5364.00,NaN,1000.00,186506,24.0000,5364.00,0.00000,985.000,0.00000,0.00000
10.0363,958.000,5410.00,NaN,1000.00,185819,31.0000,5410.00,0.00000,958.000,0.00000,0.00000
10.0711,990.000,5237.00,NaN,1000.00,185974,23.0000,5237.00,0.00000,990.000,0.00000,0.00000
10.1083,939.000,5292.00,NaN,1000.00,186275,23.0000,5292.00,0.00000,939.000,0.00000,0.00000
10.1419,984.000,5339.00,NaN,1000.00,186011,36.0000,5339.00,0.00000,984.000,0.00000,0.00000
10.1761,981.000,5412.00,NaN,1000.00,186633,24.0000,5412.00,0.00000,981.000,0.00000,0.00000
10.2121,988.000,5342.00,NaN,1000.00,186753,29.0000,5342.00,0.00000,988.000,0.00000,0.00000
10.2487,970.000,5300.00,NaN,1000.00,186476,31.0000,5300.00,0.00000,970.000,0.00000,0.00000
10.2829,934.000,5283.00,NaN,1000.00,186127,25.0000,5283.00,0.00000,934.000,0.00000,0.00000
10.3183,986.000,5292.00,NaN,1000.00,185716,32.0000,5292.00,0.00000,986.000,0.00000,0.00000
10.3525,926.000,5284.00,NaN,1000.00,186416,36.0000,5284.00,0.00000,926.000,0.00000,0.00000
10.3885,894.000,5255.00,NaN,1000.00,186598,17.0000,5255.00,0.00000,894.000,0.00000,0.00000
10.4196,974.000,5433.00,NaN,1000.00,186424,31.0000,5433.00,0.00000,974.000,0.00000,0.00000
10.4563,934.000,5254.00,NaN,1000.00,186726,30.0000,5254.00,0.00000,934.000,0.00000,0.00000
10.4904,945.000,5329.00,NaN,1000.00,186190,24.0000,5329.00,0.00000,945.000,0.00000,0.00000
10.5264,990.000,5380.00,NaN,1000.00,187205,41.0000,5380.00,0.00000,990.000,0.00000,0.00000
10.5588,929.000,5365.00,NaN,1000.00,186501,35.0000,5365.00,0.00000,929.000,0.00000,0.00000
10.5960,1010.00,5328.00,NaN,1000.00,186378,15.0000,5328.00,0.00000,1010.00,0.00000,0.00000
10.6308,944.000,5306.00,NaN,1000.00,186381,22.0000,5306.00,0.00000,944.000,0.00000,0.00000
10.6662,995.000,5344.00,NaN,1000.00,186325,36.0000,5344.00,0.00000,995.000,0.00000,0.00000
10.6992,935.000,5286.00,NaN,1000.00,186757,28.0000,5286.00,0.00000,935.000,0.00000,0.00000
10.7340,907.000,5254.00,NaN,1000.00,186261,21.0000,5254.00,0.00000,907.000,0.00000,0.00000
10.7706,934.000,5242.00,NaN,1000.00,186658,43.0000,5242.00,0.00000,934.000,0.00000,0.00000
10.8036,947.000,5219.00,NaN,1000.00,186388,30.0000,5219.00,0.00000,947.000,0.00000,0.00000
10.8396,939.000,5371.00,NaN,1000.00,185634,35.0000,5371.00,0.00000,939.000,0.00000,0.00000
10.8756,908.000,5256.00,NaN,1000.00,186106,32.0000,5256.00,0.00000,908.000,0.00000,0.00000
10.9079,921.000,5290.00,NaN,1000.00,186396,26.0000,5290.00,0.00000,921.000,0.00000,0.00000
10.9452,1005.00,5335.00,NaN,1000.00,186255,24.0000,5335.00,0.00000,1005.00,0.00000,0.00000
10.9787,966.000,5446.00,NaN,1000.00,186618,34.0000,5446.00,0.00000,966.000,0.00000,0.00000
